patient_count,related_diagnosis,claim_week,claim_year,PRVDR_NUM,PRVDR_STATE_CD
16,A_AB_COPD_DY,2,2019,460006,46
51,A_AB_COPD_DY,2,2021,460009,46
12,A_AB_COPD_DY,2,2017,460006,46
22,Emesis,2,2019,460009,46
12,A_AB_COPD_DY,2,2020,460011,46
12,A_AB_COPD_DY,2,2021,460015,46
18,A_AB_COPD_DY,2,2020,460021,46
17,A_AB_COPD_DY,2,2018,460006,46
12,A_AB_COPD_DY,2,2019,460010,46
24,A_AB_COPD_DY,2,2017,460010,46
48,A_AB_COPD_DY,2,2020,460009,46
62,A_AB_COPD_DY,2,2018,460009,46
12,A_AB_COPD_DY,2,2019,460015,46
12,A_AB_COPD_DY,3,2022,460015,46
42,A_AB_COPD_DY,3,2021,460009,46
12,Emesis,3,2017,460058,46
12,A_AB_COPD_DY,3,2020,460047,46
42,A_AB_COPD_DY,3,2022,460009,46
21,A_AB_COPD_DY,3,2017,460009,46
19,A_AB_COPD_DY,3,2017,460004,46
12,A_AB_COPD_DY,3,2018,460041,46
11,Emesis,3,2018,460011,46
12,A_AB_COPD_DY,3,2020,460015,46
23,A_AB_COPD_DY,3,2017,460007,46
24,A_AB_COPD_DY,3,2018,460004,46
12,A_AB_COPD_DY,3,2017,460006,46
12,A_AB_COPD_DY,3,2019,460010,46
12,Emesis,3,2022,460009,46
18,A_AB_COPD_DY,3,2018,460047,46
18,A_AB_COPD_DY,3,2021,460004,46
12,A_AB_COPD_DY,3,2021,460047,46
17,A_AB_COPD_DY,3,2017,460047,46
18,A_AB_COPD_DY,3,2017,460015,46
24,A_AB_COPD_DY,3,2020,460006,46
12,A_AB_COPD_DY,3,2021,460021,46
23,A_AB_COPD_DY,3,2022,460021,46
12,Emesis,3,2017,460001,46
18,Emesis,3,2020,460009,46
46,A_AB_COPD_DY,3,2019,460009,46
78,A_AB_COPD_DY,3,2020,460009,46
18,A_AB_COPD_DY,3,2018,460021,46
42,A_AB_COPD_DY,3,2019,460021,46
36,Emesis,3,2019,460009,46
38,A_AB_COPD_DY,3,2018,460009,46
18,A_AB_COPD_DY,3,2019,460005,46
18,Emesis,3,2017,460009,46
12,A_AB_COPD_DY,3,2022,460004,46
12,A_AB_COPD_DY,3,2020,460021,46
18,A_AB_COPD_DY,3,2022,460010,46
18,A_AB_COPD_DY,3,2021,460051,46
12,A_AB_COPD_DY,3,2019,460041,46
12,A_AB_COPD_DY,3,2022,460001,46
24,A_AB_COPD_DY,3,2022,460047,46
12,A_AB_COPD_DY,3,2020,460005,46
12,Emesis,3,2018,460009,46
14,A_AB_COPD_DY,3,2018,460010,46
12,A_AB_COPD_DY,3,2021,460030,46
18,A_AB_COPD_DY,3,2021,460007,46
12,A_AB_COPD_DY,3,2018,460006,46
12,A_AB_COPD_DY,3,2018,461308,46
11,A_AB_COPD_DY,3,2018,460007,46
14,A_AB_COPD_DY,3,2019,460047,46
16,A_AB_COPD_DY,4,2018,460011,46
24,A_AB_COPD_DY,4,2022,460004,46
24,Emesis,4,2022,460009,46
12,Emesis,4,2018,460011,46
30,A_AB_COPD_DY,4,2020,460021,46
81,A_AB_COPD_DY,4,2021,460009,46
18,A_AB_COPD_DY,4,2021,460015,46
11,Emesis,4,2020,460042,46
18,A_AB_COPD_DY,4,2021,460021,46
12,A_AB_COPD_DY,4,2017,460021,46
12,A_AB_COPD_DY,4,2017,460001,46
11,Emesis,4,2019,460021,46
12,A_AB_COPD_DY,4,2019,460004,46
13,A_AB_COPD_DY,4,2020,460006,46
30,A_AB_COPD_DY,4,2022,460009,46
12,A_AB_COPD_DY,4,2019,460001,46
17,A_AB_COPD_DY,4,2020,460001,46
12,A_AB_COPD_DY,4,2021,460047,46
12,A_AB_COPD_DY,4,2020,460019,46
12,A_AB_COPD_DY,4,2020,460058,46
12,Emesis,4,2019,460004,46
12,A_AB_COPD_DY,4,2019,460010,46
17,A_AB_COPD_DY,4,2018,460001,46
12,A_AB_COPD_DY,4,2022,460005,46
72,A_AB_COPD_DY,4,2020,460009,46
12,A_AB_COPD_DY,4,2021,460006,46
12,A_AB_COPD_DY,4,2019,460021,46
18,A_AB_COPD_DY,4,2020,460010,46
12,A_AB_COPD_DY,4,2017,460014,46
12,Emesis,4,2020,460009,46
12,A_AB_COPD_DY,4,2021,460004,46
21,Emesis,4,2019,460009,46
55,A_AB_COPD_DY,4,2017,460009,46
12,Emesis,4,2017,460009,46
30,A_AB_COPD_DY,4,2019,460047,46
30,A_AB_COPD_DY,4,2019,460009,46
12,A_AB_COPD_DY,4,2022,460015,46
12,Emesis,4,2020,460011,46
12,A_AB_COPD_DY,4,2017,460047,46
23,A_AB_COPD_DY,4,2022,460021,46
18,Emesis,4,2021,460009,46
38,A_AB_COPD_DY,4,2018,460009,46
21,A_AB_COPD_DY,4,2018,460021,46
12,A_AB_COPD_DY,4,2021,460010,46
12,A_AB_COPD_DY,4,2019,460007,46
18,Emesis,4,2022,460061,46
12,A_AB_COPD_DY,4,2022,460007,46
24,A_AB_COPD_DY,4,2022,460010,46
12,A_AB_COPD_DY,4,2017,460010,46
12,Emesis,4,2020,460005,46
18,A_AB_COPD_DY,4,2020,460004,46
24,A_AB_COPD_DY,4,2020,460047,46
12,A_AB_COPD_DY,4,2020,460011,46
27,A_AB_COPD_DY,5,2017,460005,46
12,Emesis,5,2017,460058,46
12,A_AB_COPD_DY,5,2021,460004,46
18,A_AB_COPD_DY,5,2022,460010,46
30,A_AB_COPD_DY,5,2022,460021,46
30,A_AB_COPD_DY,5,2021,460009,46
17,Emesis,5,2017,460009,46
50,A_AB_COPD_DY,5,2019,460009,46
12,A_AB_COPD_DY,5,2017,460011,46
31,A_AB_COPD_DY,5,2022,460047,46
21,A_AB_COPD_DY,5,2018,460047,46
12,A_AB_COPD_DY,5,2019,460051,46
20,A_AB_COPD_DY,5,2019,460010,46
12,A_AB_COPD_DY,5,2020,460004,46
11,A_AB_COPD_DY,5,2017,460015,46
12,A_AB_COPD_DY,5,2017,460026,46
12,A_AB_COPD_DY,5,2017,460052,46
42,A_AB_COPD_DY,5,2020,460009,46
12,A_AB_COPD_DY,5,2020,460006,46
12,A_AB_COPD_DY,5,2017,460051,46
12,A_AB_COPD_DY,5,2020,460007,46
54,A_AB_COPD_DY,5,2022,460009,46
12,A_AB_COPD_DY,5,2020,460047,46
15,Emesis,5,2018,462525,46
16,A_AB_COPD_DY,5,2021,460047,46
12,A_AB_COPD_DY,5,2017,460004,46
13,A_AB_COPD_DY,5,2018,460010,46
18,A_AB_COPD_DY,5,2019,460047,46
37,A_AB_COPD_DY,5,2018,460009,46
42,A_AB_COPD_DY,5,2020,460021,46
12,A_AB_COPD_DY,5,2019,460058,46
36,A_AB_COPD_DY,5,2020,460010,46
12,A_AB_COPD_DY,5,2021,460001,46
21,Emesis,5,2021,460009,46
35,A_AB_COPD_DY,5,2019,460004,46
15,A_AB_COPD_DY,5,2018,460021,46
55,A_AB_COPD_DY,5,2017,460009,46
25,A_AB_COPD_DY,5,2017,460021,46
48,Emesis,5,2022,460009,46
12,A_AB_COPD_DY,5,2019,461302,46
12,Emesis,5,2021,460021,46
12,A_AB_COPD_DY,5,2021,461819,46
30,A_AB_COPD_DY,5,2021,460010,46
18,Emesis,5,2019,460009,46
12,A_AB_COPD_DY,5,2019,460044,46
24,A_AB_COPD_DY,6,2020,460021,46
12,Emesis,6,2019,460049,46
18,A_AB_COPD_DY,6,2021,460011,46
14,A_AB_COPD_DY,6,2018,460047,46
12,A_AB_COPD_DY,6,2018,460060,46
12,Emesis,6,2017,460009,46
45,Emesis,6,2022,460009,46
16,A_AB_COPD_DY,6,2019,460001,46
20,A_AB_COPD_DY,6,2019,460010,46
24,A_AB_COPD_DY,6,2018,460004,46
12,A_AB_COPD_DY,6,2020,461835,46
12,A_AB_COPD_DY,6,2020,460047,46
63,A_AB_COPD_DY,6,2019,460009,46
12,Emesis,6,2021,460001,46
12,A_AB_COPD_DY,6,2022,460021,46
30,A_AB_COPD_DY,6,2018,460010,46
12,Emesis,6,2020,460009,46
54,A_AB_COPD_DY,6,2021,460009,46
18,A_AB_COPD_DY,6,2017,460004,46
12,A_AB_COPD_DY,6,2017,460041,46
35,A_AB_COPD_DY,6,2017,460047,46
12,A_AB_COPD_DY,6,2022,460005,46
16,A_AB_COPD_DY,6,2017,460021,46
30,A_AB_COPD_DY,6,2017,460009,46
24,A_AB_COPD_DY,6,2022,460009,46
18,A_AB_COPD_DY,6,2021,460015,46
20,A_AB_COPD_DY,6,2019,460021,46
54,A_AB_COPD_DY,6,2020,460009,46
12,A_AB_COPD_DY,6,2020,460042,46
12,A_AB_COPD_DY,6,2017,460026,46
12,Emesis,6,2019,460015,46
12,A_AB_COPD_DY,6,2020,460001,46
12,A_AB_COPD_DY,6,2019,460014,46
71,A_AB_COPD_DY,6,2018,460009,46
13,A_AB_COPD_DY,6,2021,460001,46
12,A_AB_COPD_DY,6,2019,460015,46
30,A_AB_COPD_DY,6,2020,460010,46
12,A_AB_COPD_DY,6,2022,460051,46
12,Emesis,6,2020,460004,46
12,A_AB_COPD_DY,6,2020,460015,46
18,Emesis,6,2017,460010,46
34,A_AB_COPD_DY,6,2021,460021,46
30,A_AB_COPD_DY,6,2022,460004,46
24,A_AB_COPD_DY,6,2018,460021,46
12,A_AB_COPD_DY,6,2018,460005,46
63,A_AB_COPD_DY,7,2019,460021,46
12,A_AB_COPD_DY,7,2019,461839,46
24,A_AB_COPD_DY,7,2017,460021,46
12,Emesis,7,2020,460021,46
36,A_AB_COPD_DY,7,2020,460009,46
29,A_AB_COPD_DY,7,2018,460021,46
30,A_AB_COPD_DY,7,2021,460047,46
18,A_AB_COPD_DY,7,2022,460047,46
12,Emesis,7,2017,460009,46
12,Emesis,7,2017,460006,46
12,A_AB_COPD_DY,7,2020,460041,46
30,A_AB_COPD_DY,7,2017,460004,46
80,A_AB_COPD_DY,7,2018,460009,46
12,A_AB_COPD_DY,7,2017,460005,46
12,A_AB_COPD_DY,7,2021,460007,46
12,A_AB_COPD_DY,7,2020,460015,46
12,A_AB_COPD_DY,7,2019,460060,46
12,Emesis,7,2020,460004,46
18,A_AB_COPD_DY,7,2017,460010,46
30,Emesis,7,2020,460009,46
12,A_AB_COPD_DY,7,2020,460010,46
12,A_AB_COPD_DY,7,2017,460026,46
37,A_AB_COPD_DY,7,2021,460009,46
57,A_AB_COPD_DY,7,2017,460009,46
24,A_AB_COPD_DY,7,2020,460021,46
12,A_AB_COPD_DY,7,2020,460001,46
24,Emesis,7,2019,460009,46
21,A_AB_COPD_DY,7,2018,460010,46
11,Emesis,7,2022,460021,46
12,A_AB_COPD_DY,7,2020,460011,46
29,A_AB_COPD_DY,7,2022,460009,46
11,A_AB_COPD_DY,7,2022,460001,46
12,A_AB_COPD_DY,7,2022,461819,46
18,A_AB_COPD_DY,7,2022,460010,46
12,Emesis,7,2017,460047,46
24,Emesis,7,2022,460009,46
18,A_AB_COPD_DY,7,2018,460001,46
29,A_AB_COPD_DY,7,2021,460021,46
11,A_AB_COPD_DY,7,2018,460011,46
12,A_AB_COPD_DY,7,2022,460007,46
24,A_AB_COPD_DY,7,2021,460010,46
13,A_AB_COPD_DY,7,2018,460007,46
12,A_AB_COPD_DY,7,2018,460047,46
12,A_AB_COPD_DY,7,2020,460026,46
12,A_AB_COPD_DY,7,2022,460023,46
12,A_AB_COPD_DY,7,2022,460026,46
18,A_AB_COPD_DY,7,2020,460007,46
12,Emesis,7,2017,460011,46
12,A_AB_COPD_DY,7,2022,463994,46
14,A_AB_COPD_DY,7,2017,460007,46
22,Emesis,7,2021,460009,46
30,A_AB_COPD_DY,7,2022,460021,46
41,A_AB_COPD_DY,7,2019,460009,46
11,A_AB_COPD_DY,7,2017,460014,46
34,A_AB_COPD_DY,8,2019,460021,46
30,A_AB_COPD_DY,8,2020,460004,46
18,Emesis,8,2022,460009,46
24,A_AB_COPD_DY,8,2019,460047,46
18,A_AB_COPD_DY,8,2017,460015,46
12,A_AB_COPD_DY,8,2017,460006,46
12,A_AB_COPD_DY,8,2017,460013,46
33,A_AB_COPD_DY,8,2017,460021,46
16,A_AB_COPD_DY,8,2021,460010,46
12,A_AB_COPD_DY,8,2021,460015,46
12,A_AB_COPD_DY,8,2019,460052,46
12,A_AB_COPD_DY,8,2019,460004,46
22,A_AB_COPD_DY,8,2021,460004,46
12,Emesis,8,2017,460009,46
12,A_AB_COPD_DY,8,2022,460047,46
24,A_AB_COPD_DY,8,2022,460010,46
56,A_AB_COPD_DY,8,2018,460009,46
18,A_AB_COPD_DY,8,2019,460013,46
12,Emesis,8,2018,461309,46
24,A_AB_COPD_DY,8,2020,460021,46
12,Emesis,8,2019,460047,46
11,A_AB_COPD_DY,8,2017,460004,46
30,A_AB_COPD_DY,8,2021,460021,46
37,A_AB_COPD_DY,8,2022,460009,46
29,A_AB_COPD_DY,8,2021,460009,46
30,A_AB_COPD_DY,8,2020,460010,46
18,A_AB_COPD_DY,8,2019,460010,46
72,A_AB_COPD_DY,8,2020,460009,46
12,A_AB_COPD_DY,8,2022,460019,46
27,A_AB_COPD_DY,8,2018,460004,46
24,Emesis,8,2018,460009,46
12,A_AB_COPD_DY,8,2019,460001,46
12,A_AB_COPD_DY,8,2020,460015,46
12,A_AB_COPD_DY,8,2021,460001,46
12,Emesis,8,2019,460009,46
14,A_AB_COPD_DY,8,2018,460010,46
12,A_AB_COPD_DY,8,2017,460051,46
18,A_AB_COPD_DY,8,2022,460007,46
30,A_AB_COPD_DY,8,2017,460010,46
46,A_AB_COPD_DY,8,2019,460009,46
58,A_AB_COPD_DY,8,2017,460009,46
24,Emesis,8,2021,460009,46
36,A_AB_COPD_DY,8,2022,460021,46
12,Emesis,8,2021,460006,46
12,Emesis,8,2019,460026,46
23,A_AB_COPD_DY,9,2020,460015,46
14,A_AB_COPD_DY,9,2018,460047,46
12,A_AB_COPD_DY,9,2021,460007,46
18,A_AB_COPD_DY,9,2017,460007,46
17,A_AB_COPD_DY,9,2018,460021,46
18,A_AB_COPD_DY,9,2017,460004,46
12,A_AB_COPD_DY,9,2020,460010,46
96,A_AB_COPD_DY,9,2020,460009,46
43,A_AB_COPD_DY,9,2017,460009,46
12,A_AB_COPD_DY,9,2018,461304,46
12,A_AB_COPD_DY,9,2017,460015,46
22,Emesis,9,2021,460009,46
18,A_AB_COPD_DY,9,2022,460021,46
17,A_AB_COPD_DY,9,2019,460051,46
91,A_AB_COPD_DY,9,2018,460009,46
12,Emesis,9,2019,461304,46
18,A_AB_COPD_DY,9,2021,460047,46
24,A_AB_COPD_DY,9,2020,460004,46
36,A_AB_COPD_DY,9,2020,460001,46
18,A_AB_COPD_DY,9,2020,460011,46
18,A_AB_COPD_DY,9,2021,460010,46
18,A_AB_COPD_DY,9,2019,460042,46
12,A_AB_COPD_DY,9,2022,460047,46
11,A_AB_COPD_DY,9,2017,460058,46
12,A_AB_COPD_DY,9,2017,460001,46
12,A_AB_COPD_DY,9,2017,460011,46
12,A_AB_COPD_DY,9,2022,460015,46
12,Emesis,9,2018,460009,46
30,A_AB_COPD_DY,9,2020,460021,46
24,A_AB_COPD_DY,9,2019,460047,46
23,Emesis,9,2021,460004,46
12,A_AB_COPD_DY,9,2022,460051,46
52,A_AB_COPD_DY,9,2021,460009,46
17,A_AB_COPD_DY,9,2018,460007,46
12,Emesis,9,2022,462525,46
18,A_AB_COPD_DY,9,2019,460021,46
34,A_AB_COPD_DY,9,2019,460004,46
17,A_AB_COPD_DY,9,2019,460006,46
30,A_AB_COPD_DY,9,2021,460021,46
12,Emesis,9,2020,462525,46
23,A_AB_COPD_DY,9,2019,460010,46
18,A_AB_COPD_DY,9,2017,460051,46
57,A_AB_COPD_DY,9,2019,460009,46
12,Emesis,9,2019,460004,46
11,A_AB_COPD_DY,9,2017,460021,46
15,A_AB_COPD_DY,9,2018,460015,46
19,A_AB_COPD_DY,9,2018,460010,46
30,Emesis,9,2022,460009,46
36,A_AB_COPD_DY,9,2022,460009,46
18,Emesis,9,2019,460009,46
11,Emesis,9,2020,461333,46
12,Emesis,9,2019,462548,46
12,A_AB_COPD_DY,9,2020,460007,46
24,A_AB_COPD_DY,10,2018,460010,46
24,A_AB_COPD_DY,10,2018,460004,46
43,A_AB_COPD_DY,10,2021,460009,46
30,Emesis,10,2022,460009,46
30,A_AB_COPD_DY,10,2020,460021,46
16,A_AB_COPD_DY,10,2019,460004,46
27,A_AB_COPD_DY,10,2017,460021,46
12,Emesis,10,2019,460011,46
17,A_AB_COPD_DY,10,2021,460047,46
11,A_AB_COPD_DY,10,2017,461306,46
12,Emesis,10,2020,460009,46
23,A_AB_COPD_DY,10,2019,460010,46
12,Emesis,10,2019,460023,46
11,A_AB_COPD_DY,10,2022,460049,46
16,A_AB_COPD_DY,10,2019,460001,46
30,A_AB_COPD_DY,10,2022,460047,46
11,A_AB_COPD_DY,10,2017,461302,46
18,A_AB_COPD_DY,10,2019,460047,46
12,A_AB_COPD_DY,10,2020,460052,46
12,A_AB_COPD_DY,10,2022,460058,46
78,A_AB_COPD_DY,10,2020,460009,46
18,A_AB_COPD_DY,10,2017,460004,46
12,Emesis,10,2019,460021,46
12,A_AB_COPD_DY,10,2017,460019,46
12,Emesis,10,2021,460021,46
42,A_AB_COPD_DY,10,2022,460009,46
69,A_AB_COPD_DY,10,2017,460009,46
36,A_AB_COPD_DY,10,2021,460021,46
18,A_AB_COPD_DY,10,2017,460047,46
18,Emesis,10,2018,460009,46
12,A_AB_COPD_DY,10,2020,461307,46
18,A_AB_COPD_DY,10,2022,460042,46
18,A_AB_COPD_DY,10,2021,460015,46
18,A_AB_COPD_DY,10,2022,460023,46
12,Emesis,10,2021,460009,46
62,A_AB_COPD_DY,10,2018,460009,46
17,A_AB_COPD_DY,10,2019,460051,46
24,A_AB_COPD_DY,10,2022,460004,46
16,A_AB_COPD_DY,10,2017,460041,46
12,A_AB_COPD_DY,10,2018,460021,46
16,A_AB_COPD_DY,10,2017,460051,46
18,A_AB_COPD_DY,10,2021,460010,46
12,A_AB_COPD_DY,10,2021,460019,46
16,A_AB_COPD_DY,10,2021,460004,46
12,A_AB_COPD_DY,10,2018,460015,46
52,A_AB_COPD_DY,10,2019,460009,46
29,Emesis,11,2022,460009,46
14,A_AB_COPD_DY,11,2021,460010,46
12,A_AB_COPD_DY,11,2020,460015,46
12,A_AB_COPD_DY,11,2018,460047,46
18,Emesis,11,2020,460009,46
12,Emesis,11,2019,460021,46
23,A_AB_COPD_DY,11,2018,460007,46
30,A_AB_COPD_DY,11,2018,460004,46
34,A_AB_COPD_DY,11,2019,460009,46
12,A_AB_COPD_DY,11,2022,460015,46
31,A_AB_COPD_DY,11,2021,460021,46
18,A_AB_COPD_DY,11,2022,460051,46
12,A_AB_COPD_DY,11,2022,460011,46
12,A_AB_COPD_DY,11,2017,460021,46
76,A_AB_COPD_DY,11,2022,460009,46
39,A_AB_COPD_DY,11,2018,460021,46
60,A_AB_COPD_DY,11,2018,460009,46
25,A_AB_COPD_DY,11,2018,460010,46
12,A_AB_COPD_DY,11,2020,460001,46
24,A_AB_COPD_DY,11,2021,460015,46
42,A_AB_COPD_DY,11,2020,460021,46
18,A_AB_COPD_DY,11,2022,460004,46
12,A_AB_COPD_DY,11,2019,460003,46
15,A_AB_COPD_DY,11,2017,460010,46
12,A_AB_COPD_DY,11,2017,461335,46
18,A_AB_COPD_DY,11,2020,460047,46
24,A_AB_COPD_DY,11,2018,460001,46
12,A_AB_COPD_DY,11,2022,460007,46
11,A_AB_COPD_DY,11,2019,460010,46
60,A_AB_COPD_DY,11,2017,460009,46
12,A_AB_COPD_DY,11,2022,460057,46
54,A_AB_COPD_DY,11,2020,460009,46
12,A_AB_COPD_DY,11,2022,460005,46
11,A_AB_COPD_DY,11,2019,461335,46
15,A_AB_COPD_DY,11,2020,460013,46
12,Emesis,11,2018,460001,46
12,A_AB_COPD_DY,11,2019,460005,46
18,Emesis,11,2017,460009,46
42,A_AB_COPD_DY,11,2019,460021,46
12,A_AB_COPD_DY,11,2021,460001,46
12,A_AB_COPD_DY,11,2018,460005,46
23,A_AB_COPD_DY,11,2021,460009,46
31,A_AB_COPD_DY,11,2019,460047,46
30,A_AB_COPD_DY,11,2022,460021,46
12,A_AB_COPD_DY,11,2019,460006,46
24,A_AB_COPD_DY,11,2022,460010,46
42,A_AB_COPD_DY,11,2017,460047,46
18,A_AB_COPD_DY,11,2017,460015,46
12,A_AB_COPD_DY,11,2020,460041,46
24,A_AB_COPD_DY,12,2020,460021,46
12,A_AB_COPD_DY,12,2018,460004,46
12,Emesis,12,2020,460009,46
12,A_AB_COPD_DY,12,2022,460007,46
36,Emesis,12,2022,460009,46
18,A_AB_COPD_DY,12,2018,460051,46
11,A_AB_COPD_DY,12,2018,460006,46
18,A_AB_COPD_DY,12,2020,460004,46
24,A_AB_COPD_DY,12,2019,460021,46
12,A_AB_COPD_DY,12,2021,461303,46
12,Emesis,12,2019,460009,46
24,A_AB_COPD_DY,12,2021,460010,46
18,A_AB_COPD_DY,12,2017,460001,46
18,A_AB_COPD_DY,12,2017,460047,46
14,A_AB_COPD_DY,12,2018,460047,46
36,A_AB_COPD_DY,12,2022,460021,46
22,A_AB_COPD_DY,12,2017,460004,46
42,A_AB_COPD_DY,12,2018,460009,46
12,Emesis,12,2022,460010,46
66,A_AB_COPD_DY,12,2022,460009,46
21,Emesis,12,2021,460009,46
12,Emesis,12,2020,460001,46
28,A_AB_COPD_DY,12,2018,460021,46
12,A_AB_COPD_DY,12,2019,460047,46
18,Emesis,12,2018,460009,46
18,A_AB_COPD_DY,12,2020,460001,46
12,A_AB_COPD_DY,12,2018,460019,46
29,A_AB_COPD_DY,12,2022,460010,46
12,A_AB_COPD_DY,12,2020,460017,46
11,A_AB_COPD_DY,12,2021,460051,46
44,A_AB_COPD_DY,12,2017,460009,46
73,A_AB_COPD_DY,12,2019,460009,46
12,A_AB_COPD_DY,12,2020,460007,46
12,A_AB_COPD_DY,12,2017,460041,46
31,A_AB_COPD_DY,12,2019,460010,46
24,A_AB_COPD_DY,12,2017,460010,46
22,A_AB_COPD_DY,12,2017,460015,46
47,A_AB_COPD_DY,12,2021,460009,46
12,A_AB_COPD_DY,12,2017,460014,46
42,A_AB_COPD_DY,12,2020,460009,46
12,A_AB_COPD_DY,12,2018,460001,46
11,Emesis,12,2022,460058,46
12,A_AB_COPD_DY,13,2017,460001,46
31,A_AB_COPD_DY,13,2019,460021,46
13,A_AB_COPD_DY,13,2020,460004,46
16,A_AB_COPD_DY,13,2018,460015,46
22,A_AB_COPD_DY,13,2017,460021,46
18,A_AB_COPD_DY,13,2022,460004,46
26,A_AB_COPD_DY,13,2017,460010,46
18,A_AB_COPD_DY,13,2021,460047,46
12,Emesis,13,2017,462540,46
54,A_AB_COPD_DY,13,2017,460009,46
12,Emesis,13,2017,460001,46
24,A_AB_COPD_DY,13,2021,460021,46
53,A_AB_COPD_DY,13,2021,460009,46
12,A_AB_COPD_DY,13,2022,460015,46
12,A_AB_COPD_DY,13,2022,460047,46
12,A_AB_COPD_DY,13,2017,460005,46
12,A_AB_COPD_DY,13,2018,460004,46
18,A_AB_COPD_DY,13,2021,460011,46
12,A_AB_COPD_DY,13,2019,461302,46
18,A_AB_COPD_DY,13,2019,460001,46
12,A_AB_COPD_DY,13,2018,460051,46
12,A_AB_COPD_DY,13,2020,460051,46
13,Emesis,13,2017,460009,46
12,A_AB_COPD_DY,13,2019,460015,46
12,Emesis,13,2019,462548,46
24,A_AB_COPD_DY,13,2017,460047,46
18,Emesis,13,2018,460021,46
17,A_AB_COPD_DY,13,2021,461307,46
54,A_AB_COPD_DY,13,2022,460009,46
17,A_AB_COPD_DY,13,2019,460010,46
16,A_AB_COPD_DY,13,2019,460014,46
12,Emesis,13,2017,460014,46
12,Emesis,13,2018,460052,46
18,Emesis,13,2019,460009,46
24,A_AB_COPD_DY,13,2018,460021,46
12,Emesis,13,2018,460057,46
18,A_AB_COPD_DY,13,2020,460007,46
45,A_AB_COPD_DY,13,2018,460009,46
30,A_AB_COPD_DY,13,2021,460010,46
18,Emesis,13,2022,460009,46
