CITY_NAME,FAC_NAME,PRVDR_NUM,STATE_CD,ZIP_CD,lat,lon
PRICE,CASTLEVIEW HOSPITAL,460011,UT,84501,39.60515821068704,-110.83328258628212
BLANDING,BLUE MOUNTAIN HOSPITAL,461310,UT,84511,37.612873633606505,-109.48268532583184
BLANDING,BLANDING FAMILY PRACTICE COMMUNITY HEALTH CENTER,461833,UT,84511,37.61210614718201,-109.4841581879023
CASTLE DALE,EMERY MEDICAL CENTER,463985,UT,84513,39.21236960773042,-111.0212679630126
EAST CARBON,CARBON MEDICAL SERVICE ASSOCIATION,461801,UT,84520,39.5502350491628,-110.39345516963279
MOAB,MOAB REGIONAL HOSPITAL,461302,UT,84532,38.575211157918595,-109.55921918448252
MONTEZUMA CREEK,MONTEZUMA CREEK COMMUNITY HEALTH CENTER,461818,UT,84534,37.259996847577526,-109.30390343611786
MONTICELLO,SAN JUAN CLINIC,463993,UT,84535,37.87446948469256,-109.34981898604534
MONTICELLO,SAN JUAN HOSPITAL,461308,UT,84535,37.87444486471641,-109.35017120513693
PROVO,UTAH VALLEY DIALYSIS CENTER,462525,UT,84604,40.24856765104494,-111.66843196280259
PROVO,UTAH VALLEY HOSPITAL,460001,UT,84604,40.247444226954116,-111.66573682063333
DELTA,DELTA COMMUNITY HOSPITAL,461300,UT,84624,39.34998116828826,-112.56111189680894
FILLMORE,FILLMORE COMMUNITY HOSPITAL,461301,UT,84631,38.954573623492514,-112.34040747651811
GUNNISON,GUNNISON VALLEY HOSPITAL,461306,UT,84634,39.15620291623618,-111.81647201513941
MOUNT PLEASANT,SANPETE VALLEY HOSPITAL - CAH,461303,UT,84647,39.53143169763917,-111.46102513231249
NEPHI,CENTRAL VALLEY MEDICAL CENTER - CAH,461304,UT,84648,39.7314994656203,-111.83792824949417
PAYSON,MOUNTAIN VIEW HOSPITAL,460013,UT,84651,40.04405303694899,-111.71448099180772
RICHFIELD,MOUNTAIN UTAH FAMILY MEDICINE,463813,UT,84701,38.78049261704714,-112.08554877837547
RICHFIELD,SEVIER VALLEY HOSPITAL,460026,UT,84701,38.78260028891253,-112.08404550906
BEAVER,BEAVER MEDICAL CLINIC,463810,UT,84713,38.28871118256148,-112.643765006956
BEAVER,BEAVER VALLEY HOSPITAL,461335,UT,84713,38.28898085075151,-112.64381270207824
BICKNELL,WAYNE COMMUNITY HEALTH CENTERS,461802,UT,84715,38.338862595849605,-111.55011025665439
CEDAR CITY,CEDAR CITY HOSPITAL,460007,UT,84721,37.69957419307554,-113.06660102630221
KANAB,KANE COUNTY HOSPITAL,461309,UT,84741,37.054344672175745,-112.5296166514696
PANGUITCH,GARFIELD MEMORIAL HOSPITAL,461333,UT,84759,37.82635093934383,-112.4270901075313
PANGUITCH,GARFIELD MEMORIAL CLINIC,463984,UT,84759,37.826427030765586,-112.42719403451795
ST GEORGE,LIBERTY DIALYSIS - ST GEORGE,462542,UT,84770,37.097341982866155,-113.56278287475632
ST GEORGE,S W U C H C - SOUTHWEST UT COMMUNITY HEALTH CENTER,461819,UT,84770,37.11099523090387,-113.58095054524522
ST GEORGE,DIXIE REGIONAL MEDICAL CENTER,460021,UT,84790,37.09882346306926,-113.57575022018614
